id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
866262876008486800,Rental unit in Toronto · ★4.82 · 1 bedroom · 2 beds · 1 bath,151725727,Rae,,Waterfront Communities-The Island,43.64207084667863,-79.39911218025892,Entire home/apt,82,28,43,2023-11-13,4.92,2,0,43,STR-2302-FRDRVQ
866278391295874045,Home in Toronto · ★4.73 · 1 bedroom · 1 bed · 1 private bath,144707328,Hongmei,,Malvern,43.80114138182587,-79.21141987482352,Private room,67,1,11,2023-11-28,1.47,2,69,11,STR-2305-GMZBHT
866318841803848042,Home in Toronto · ★4.38 · 4 bedrooms · 6 beds · 3 baths,341995122,Marina,,Trinity-Bellwoods,43.65332,-79.41219,Entire home/apt,307,1,8,2023-11-26,1.26,3,287,8,STR-2302-FQRRVQ
866345092710425991,Home in Toronto · 1 bedroom · 1 bed · 1 private bath,463710504,Elie,,Eglinton East,43.741089944408685,-79.25031558505778,Private room,78,28,1,2023-06-03,0.14,7,279,1,
866499844336429033,Guest suite in Toronto · 1 bedroom · 2 beds · 1 bath,374915239,Farideh,,Willowdale East,43.780859850117615,-79.39655780254529,Entire home/apt,171,1,1,2023-04-15,0.11,1,89,1,STR-2304-GHHHHS
866548978182010758,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,268179318,Qiong,,Islington-City Centre West,43.6319,-79.55243,Private room,47,28,2,2023-09-21,0.31,2,71,2,
866588062735815389,Rental unit in Toronto · 2 bedrooms · 3 beds · 1 bath,436256662,Ai Hua,,Kensington-Chinatown,43.64916139981839,-79.39820904049657,Entire home/apt,276,28,0,,,4,89,0,STR-2112-GVFDVH
866599067119002026,Rental unit in Toronto · 2 bedrooms · 3 beds · 1 bath,249962894,Xiao,,Kensington-Chinatown,43.650897526421645,-79.3972698725356,Private room,276,28,0,,,1,90,0,STR-2012-FMWKVC
866606433441727541,Home in Toronto · ★4.88 · 3 bedrooms · 3 beds · 1 bath,69393936,Krystal,,Niagara,43.6437858,-79.4062443,Entire home/apt,,1,8,2023-10-21,1.30,1,0,8,STR-2304-HHXVHW
866654207728044443,Condo in Toronto · 2 bedrooms · 2 beds · 1.5 baths,191392713,Darrel,,Waterfront Communities-The Island,43.642840431038444,-79.38221754219467,Entire home/apt,150,30,1,2023-06-14,0.14,4,365,1,
866654846653134770,Townhouse in Toronto · ★4.58 · 3 bedrooms · 5 beds · 2 baths,509423801,Tania,,Niagara,43.64331540164105,-79.40379342082305,Entire home/apt,348,2,12,2023-11-26,2.28,1,355,12,STR-2305-FRRXVQ
866664446529014221,Condo in Toronto · 2 bedrooms · 3 beds · 1 bath,131992934,Jian,,Waterfront Communities-The Island,43.6421649,-79.3816248,Entire home/apt,149,28,0,,,2,364,0,STR-2105-JCTDVM
866666664963864164,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,61336285,Samaneh,,Rexdale-Kipling,43.726022370474844,-79.56152278929949,Private room,200,1,0,,,2,179,0,STR-2309-HBHRVW
866713545819597750,Home in Toronto · ★4.25 · 1 bedroom · 1 bed · 1.5 shared baths,499873746,Ogheneyoiborue,,Corso Italia-Davenport,43.6818142179216,-79.44601141551479,Private room,80,28,8,2023-11-13,1.16,4,51,8,STR-2303-HBWPHW
